accession,name,length,organism,label,subcategory,pfam_ids,go_terms,function_description,sequence_identity_to_nearest_threat,is_hard_negative
P56696,KCNQ4_HUMAN,695,Homo sapiens,benign,pore_nontoxin,"['PF00520', 'PF03520']","['GO:0009925:C:basal plasma membrane', 'GO:0005886:C:plasma membrane', 'GO:0008076:C:voltage-gated potassium channel complex', 'GO:0005267:F:potassium channel activity', 'GO:0005249:F:voltage-gated potassium channel activity', 'GO:0042472:P:inner ear morphogenesis', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0006813:P:potassium ion transport', 'GO:0007605:P:sensory perception of sound']","Pore-forming subunit of the voltage-gated potassium (Kv) channel involved in the regulation of sensory cells excitability in the cochlea (PubMed:10025409, PubMed:34767770). KCNQ4/Kv7.4 channel is composed of 4 pore-forming subunits assembled as tetramers (PubMed:34767770). Promotes the outflow of potassium ions in the repolarization phase of action potential which plays a role in regulating membrane potential of excitable cells (PubMed:10025409, PubMed:11245603, PubMed:34767770). The channel conducts a slowly activating and deactivating current (PubMed:10025409, PubMed:11245603). Current often shows some inward rectification at positive potentials (PubMed:10025409). Channel may be selectively permeable in vitro to other cations besides potassium, in decreasing order of affinity K(+) = Rb(+) > Cs(+) > Na(+) (PubMed:10025409). Important for normal physiological function of inner ear such as sensory perception of sound (PubMed:10025409, PubMed:10369879)",,True
O95069,KCNK2_HUMAN,426,Homo sapiens,benign,pore_nontoxin,['PF07885'],"['GO:0016324:C:apical plasma membrane', 'GO:0097449:C:astrocyte projection', 'GO:0044305:C:calyx of Held', 'GO:0009986:C:cell surface', 'GO:0030425:C:dendrite', 'GO:0005783:C:endoplasmic reticulum', 'GO:0005789:C:endoplasmic reticulum membrane', 'GO:0043025:C:neuronal cell body', 'GO:0033268:C:node of Ranvier', 'GO:0005886:C:plasma membrane', 'GO:0098839:C:postsynaptic density membrane', 'GO:0042383:C:sarcolemma', 'GO:0098685:C:Schaffer collateral - CA1 synapse', 'GO:0008076:C:voltage-gated potassium channel complex', 'GO:0042802:F:identical protein binding', 'GO:0022834:F:ligand-gated channel activity', 'GO:0098782:F:mechanosensitive potassium channel activity', 'GO:0046872:F:metal ion binding', 'GO:0015271:F:outward rectifier potassium channel activity', 'GO:0019870:F:potassium channel inhibitor activity', 'GO:0022841:F:potassium ion leak channel activity', 'GO:0046982:F:protein heterodimerization activity', 'GO:0003231:P:cardiac ventricle development', 'GO:1904551:P:cellular response to arachidonate', 'GO:0071456:P:cellular response to hypoxia', 'GO:0099565:P:chemical synaptic transmission, postsynaptic', 'GO:1902476:P:chloride transmembrane transport', 'GO:0090102:P:cochlea development', 'GO:0050976:P:detection of mechanical stimulus involved in sensory perception of touch', 'GO:0007186:P:G protein-coupled receptor signaling pathway', 'GO:0014047:P:glutamate secretion', 'GO:0007613:P:memory', 'GO:0060044:P:negative regulation of cardiac muscle cell proliferation', 'GO:2000279:P:negative regulation of DNA biosynthetic process', 'GO:0019228:P:neuronal action potential', 'GO:1900039:P:positive regulation of cellular response to hypoxia', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0032228:P:regulation of synaptic transmission, GABAergic', 'GO:0048678:P:response to axon injury']",Does not display channel activity but reduces the channel activity of isoform 1 and isoform 2 and reduces cell surface expression of isoform 2,,True
P48544,KCNJ5_HUMAN,419,Homo sapiens,benign,pore_nontoxin,"['PF01007', 'PF17655']","['GO:1990566:C:I(KACh) inward rectifier potassium channel complex', 'GO:0005886:C:plasma membrane', 'GO:0008076:C:voltage-gated potassium channel complex', 'GO:0015467:F:G-protein activated inward rectifier potassium channel activity', 'GO:0005242:F:inward rectifier potassium channel activity', 'GO:0086089:F:voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization', 'GO:1902282:F:voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization', 'GO:0098914:P:membrane repolarization during atrial cardiac muscle cell action potential', 'GO:1990573:P:potassium ion import across plasma membrane', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0006813:P:potassium ion transport', 'GO:0086091:P:regulation of heart rate by cardiac conduction', 'GO:0034765:P:regulation of monoatomic ion transmembrane transport', 'GO:0099625:P:ventricular cardiac muscle cell membrane repolarization']","Inward rectifier potassium channels are characterized by a greater tendency to allow potassium to flow into the cell rather than out of it. Their voltage dependence is regulated by the concentration of extracellular potassium; as external potassium is raised, the voltage range of the channel opening shifts to more positive voltages. The inward rectification is mainly due to the blockage of outward current by internal magnesium. Can be blocked by external barium. This potassium channel is controlled by G proteins",,True
Q6Q1P3,KCNKI_RAT,405,Rattus norvegicus,benign,pore_nontoxin,['PF07885'],"['GO:0005886:C:plasma membrane', 'GO:0015269:F:calcium-activated potassium channel activity', 'GO:0046872:F:metal ion binding', 'GO:0015271:F:outward rectifier potassium channel activity', 'GO:0022841:F:potassium ion leak channel activity', 'GO:0071467:P:cellular response to pH', 'GO:0097623:P:potassium ion export across plasma membrane', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0006813:P:potassium ion transport', 'GO:0032829:P:regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation']","K(+) channel that conducts outward and inward rectifying currents at depolarized and hyperpolarized membrane potentials, respectively. The outward rectifying currents are voltage-dependent, coupled to K(+) electrochemical gradient across the membrane, whereas the inward currents can be induced in response to activation of Ca(2+)-mobilizing receptors (PubMed:16192517). Homo- and heterodimerizes to form functional channels with distinct regulatory and gating properties (By similarity). In trigeminal ganglia sensory neurons, the heterodimers of KCNK18/TRESK and KCNK2/TREK-1 or KCNK10/TREK-2 inhibit neuronal firing and neurogenic inflammation by stabilizing the resting membrane potential at K(+) equilibrium potential as well as by regulating the threshold of action potentials and the spike frequency (By similarity). In thymocytes, conducts K(+) currents upon T cell receptor (TCR) signaling leading to sustained Ca(2+) influx and NF-kappa-B activation, FOXP3 transcription and positive selection of regulatory T cell (Treg) progenitor subsets (By similarity). Appears to mediate the analgesics effects of hydroxy-alpha-sanshool, a metabolite naturally present in Schezuan pepper and other Xanthoxylum plants (By similarity)",,True
Q8R3Z5,CACB1_MOUSE,597,Mus musculus,benign,pore_nontoxin,"['PF00625', 'PF12052']","['GO:0098978:C:glutamatergic synapse', 'GO:1990454:C:L-type voltage-gated calcium channel complex', 'GO:0005886:C:plasma membrane', 'GO:0098794:C:postsynapse', 'GO:0098793:C:presynapse', 'GO:0016529:C:sarcoplasmic reticulum', 'GO:0030315:C:T-tubule', 'GO:0005891:C:voltage-gated calcium channel complex', 'GO:0005246:F:calcium channel regulator activity', 'GO:0008331:F:high voltage-gated calcium channel activity', 'GO:0042802:F:identical protein binding', 'GO:0051219:F:phosphoprotein binding', 'GO:0019904:F:protein domain specific binding', 'GO:0019901:F:protein kinase binding', 'GO:0005245:F:voltage-gated calcium channel activity', 'GO:0070588:P:calcium ion transmembrane transport', 'GO:0006816:P:calcium ion transport', 'GO:1904646:P:cellular response to amyloid-beta', 'GO:0007268:P:chemical synaptic transmission', 'GO:0045933:P:positive regulation of muscle contraction', 'GO:0006612:P:protein targeting to membrane', 'GO:1902514:P:regulation of calcium ion transmembrane transport via high voltage-gated calcium channel']",Regulatory subunit of L-type calcium channels. Regulates the activity of L-type calcium channels that contain CACNA1A as pore-forming subunit (By similarity). Regulates the activity of L-type calcium channels that contain CACNA1C as pore-forming subunit and increases the presence of the channel complex at the cell membrane. Required for functional expression L-type calcium channels that contain CACNA1D as pore-forming subunit. Regulates the activity of L-type calcium channels that contain CACNA1B as pore-forming subunit (By similarity),,True
Q9JIS4,KCNKA_RAT,538,Rattus norvegicus,benign,pore_nontoxin,['PF07885'],"['GO:0034702:C:monoatomic ion channel complex', 'GO:0005886:C:plasma membrane', 'GO:0098782:F:mechanosensitive potassium channel activity', 'GO:0046872:F:metal ion binding', 'GO:0015271:F:outward rectifier potassium channel activity', 'GO:0005267:F:potassium channel activity', 'GO:0022841:F:potassium ion leak channel activity', 'GO:1904551:P:cellular response to arachidonate', 'GO:0007613:P:memory', 'GO:0071805:P:potassium ion transmembrane transport']","K(+) channel that conducts voltage-dependent outward rectifying currents upon membrane depolarization. Voltage sensing is coupled to K(+) electrochemical gradient in an 'ion flux gating' mode where outward but not inward ion flow opens the gate. Converts to voltage-independent 'leak' conductance mode upon stimulation by various stimuli including mechanical membrane stretch, acidic pH, heat and lipids. Homo- and heterodimerizes to form functional channels with distinct regulatory and gating properties (By similarity). In trigeminal ganglia sensory neurons, the heterodimer of KCNK10/TREK-2 and KCNK18/TRESK inhibits neuronal firing and neurogenic inflammation by stabilizing the resting membrane potential at K(+) equilibrium potential as well as by regulating the threshold of action potentials and the spike frequency (By similarity). Permeable to other monovalent ions such as Rb(+) and Cs(+) (By similarity) (PubMed:10747911)",,True
O14649,KCNK3_HUMAN,394,Homo sapiens,benign,pore_nontoxin,['PF07885'],"['GO:0005886:C:plasma membrane', 'GO:0045202:C:synapse', 'GO:0046872:F:metal ion binding', 'GO:0005216:F:monoatomic ion channel activity', 'GO:0005252:F:open rectifier potassium channel activity', 'GO:0015271:F:outward rectifier potassium channel activity', 'GO:0005267:F:potassium channel activity', 'GO:0022841:F:potassium ion leak channel activity', 'GO:0046982:F:protein heterodimerization activity', 'GO:0044548:F:S100 protein binding', 'GO:0005272:F:sodium channel activity', 'GO:0071468:P:cellular response to acidic pH', 'GO:0071456:P:cellular response to hypoxia', 'GO:0071294:P:cellular response to zinc ion', 'GO:0007268:P:chemical synaptic transmission', 'GO:0090102:P:cochlea development', 'GO:0003029:P:detection of hypoxic conditions in blood by carotid body chemoreceptor signaling', 'GO:0034220:P:monoatomic ion transmembrane transport', 'GO:0051481:P:negative regulation of cytosolic calcium ion concentration', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0006813:P:potassium ion transport', 'GO:0099605:P:regulation of action potential firing rate', 'GO:0060075:P:regulation of resting membrane potential', 'GO:0009410:P:response to xenobiotic stimulus']","K(+) channel that conducts voltage-dependent outward rectifying currents upon membrane depolarization. Voltage sensing is coupled to K(+) electrochemical gradient in an 'ion flux gating' mode where outward but not inward ion flow opens the gate (PubMed:23169818, PubMed:26919430, PubMed:32499642, PubMed:36195757, PubMed:9312005). Changes ion selectivity and becomes permeable to Na(+) ions in response to extracellular acidification. Protonation of the pH sensor His-98 stabilizes C-type inactivation conformation likely converting the channel from outward K(+)-conducting, to inward Na(+)-conducting to nonconductive state (PubMed:22948150). Homo- and heterodimerizes to form functional channels with distinct regulatory and gating properties (PubMed:23169818, PubMed:32499642). Allows K(+) currents with fast-gating kinetics important for the repolarization and hyperpolarization phases of action potentials (By similarity). In cerebellar granule cells, heteromeric KCNK3:KCNK9 channel may hyperpolarize the resting membrane potential to limit intrinsic neuronal excitability, but once the action potential threshold is reached, it may support high-frequency action potential firing and increased neuronal excitability (By similarity). Dispensable for central chemosensory respiration i.e. breathing controlled by brainstem CO2/pH, it rather conducts pH-sensitive currents and controls the firing rate of serotonergic raphe neurons involved in potentiation of the respiratory chemoreflex. Additionally, imparts chemosensitivity to type 1 cells in carotid bodies which respond to a decrease in arterial oxygen pressure or an increase in carbon dioxide pressure or pH to initiate adaptive changes in pulmonary ventilation (By similarity). In adrenal gland, contributes to the maintenance of a hyperpolarized resting membrane potential of aldosterone-producing cells at zona glomerulosa and limits aldosterone release as part of a regulatory mechanism that controls arterial blood pressure and electrolyte homeostasis (By similarity). In brown adipocytes, mediates K(+) efflux that counteracts norepinephrine-induced membrane depolarization, limits Ca(2+) efflux and downstream cAMP and PKA signaling, ultimately attenuating lipid oxidation and adaptive thermogenesis (By similarity)",,True
Q8TDI7,TMC2_HUMAN,906,Homo sapiens,benign,pore_nontoxin,['PF07810'],"['GO:0032437:C:cuticular plate', 'GO:0005886:C:plasma membrane', 'GO:0032420:C:stereocilium', 'GO:0032426:C:stereocilium tip', 'GO:0005262:F:calcium channel activity', 'GO:0008381:F:mechanosensitive monoatomic ion channel activity', 'GO:0005245:F:voltage-gated calcium channel activity', 'GO:0050910:P:detection of mechanical stimulus involved in sensory perception of sound', 'GO:1903169:P:regulation of calcium ion transmembrane transport', 'GO:0060005:P:vestibular reflex']","Pore-forming subunit of the mechanotransducer (MET) non-selective cation channel complex located at the tips of stereocilia of cochlear hair cells and that mediates sensory transduction in the auditory system (PubMed:11850618). The MET complex is composed of two dimeric pore-forming ion-conducting transmembrane TMC (TMC1 or TMC2) subunits, and aided by several auxiliary proteins including LHFPL5, TMIE, CIB2/3 and TOMT, and the tip-link PCDH15. MET channel is activated by tension in the tip-link extending from the side wall of one stereocilium to the tip of the adjacent shorter stereocilium, where the channel is located (By similarity). TMC2 MET channel is highly permeable to calcium and likely transports monovalent cations. Also involved in vestibular hair cell transduction current of the mammalian inner ear (By similarity)",,True
Q8NCM2,KCNH5_HUMAN,988,Homo sapiens,benign,pore_nontoxin,"['PF00027', 'PF00520', 'PF13426']","['GO:0009986:C:cell surface', 'GO:0005886:C:plasma membrane', 'GO:0008076:C:voltage-gated potassium channel complex', 'GO:0005516:F:calmodulin binding', 'GO:0005251:F:delayed rectifier potassium channel activity', 'GO:0044877:F:protein-containing complex binding', 'GO:0044325:F:transmembrane transporter binding', 'GO:0005249:F:voltage-gated potassium channel activity', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0006813:P:potassium ion transport', 'GO:0010389:P:regulation of G2/M transition of mitotic cell cycle', 'GO:0042391:P:regulation of membrane potential']","Pore-forming (alpha) subunit of a voltage-gated delayed rectifier potassium channel that mediates outward-rectifying potassium currents which, on depolarization, reaches a steady-state level and do not inactivate (PubMed:11943152, PubMed:12135768, PubMed:24133262, PubMed:36928654). The kinetic is characterized by a slow activation time course and a small voltage dependence of the activation time constants, therefore, starts to open at more negative voltages (PubMed:11943152, PubMed:12135768). The activation kinetics depend on the prepulse potential and external divalent cation concentration (PubMed:11943152, PubMed:24133262). The time course of activation is biphasic with a fast and a slowly activating current component (PubMed:11943152, PubMed:12135768, PubMed:36928654). With negative prepulses, the current activation is delayed and slowed down several fold, whereas more positive prepulses speed up activation, therefore the activation rate depends on holding potential (PubMed:11943152, PubMed:12135768, PubMed:36928654)",,True
P48050,KCNJ4_HUMAN,445,Homo sapiens,benign,pore_nontoxin,"['PF01007', 'PF17655']","['GO:0016323:C:basolateral plasma membrane', 'GO:0030659:C:cytoplasmic vesicle membrane', 'GO:0005886:C:plasma membrane', 'GO:0045211:C:postsynaptic membrane', 'GO:0008076:C:voltage-gated potassium channel complex', 'GO:0005242:F:inward rectifier potassium channel activity', 'GO:0030165:F:PDZ domain binding', 'GO:1990573:P:potassium ion import across plasma membrane', 'GO:0006813:P:potassium ion transport', 'GO:0034765:P:regulation of monoatomic ion transmembrane transport']","Inward rectifier potassium channels are characterized by a greater tendency to allow potassium to flow into the cell rather than out of it. Their voltage dependence is regulated by the concentration of extracellular potassium; as external potassium is raised, the voltage range of the channel opening shifts to more positive voltages. The inward rectification is mainly due to the blockage of outward current by internal magnesium. Can be blocked by extracellular barium and cesium",,True
P63251,KCNJ3_RAT,501,Rattus norvegicus,benign,pore_nontoxin,"['PF01007', 'PF17655']","['GO:0009986:C:cell surface', 'GO:0009897:C:external side of plasma membrane', 'GO:1990566:C:I(KACh) inward rectifier potassium channel complex', 'GO:1902937:C:inward rectifier potassium channel complex', 'GO:0098688:C:parallel fiber to Purkinje cell synapse', 'GO:0005886:C:plasma membrane', 'GO:0042734:C:presynaptic membrane', 'GO:0030315:C:T-tubule', 'GO:0008076:C:voltage-gated potassium channel complex', 'GO:0015467:F:G-protein activated inward rectifier potassium channel activity', 'GO:0005546:F:phosphatidylinositol-4,5-bisphosphate binding', 'GO:0099508:F:voltage-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential', 'GO:1990573:P:potassium ion import across plasma membrane', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0034765:P:regulation of monoatomic ion transmembrane transport', 'GO:0051602:P:response to electrical stimulus']","Inward rectifier potassium channels are characterized by a greater tendency to allow potassium to flow into the cell rather than out of it. Their voltage dependence is regulated by the concentration of extracellular potassium; as external potassium is raised, the voltage range of the channel opening shifts to more positive voltages. The inward rectification is mainly due to the blockage of outward current by internal magnesium. This potassium channel is controlled by G proteins (PubMed:8234283, PubMed:8355805, PubMed:9486652). This receptor plays a crucial role in regulating the heartbeat (PubMed:8234283). Forms a functional channel in association with KCNJ9/GIRK3 (PubMed:8670306)",,True
Q5QM84,TPC1_ORYSJ,757,Oryza sativa subsp. japonica,benign,pore_nontoxin,['PF00520'],"['GO:0034702:C:monoatomic ion channel complex', 'GO:0000325:C:plant-type vacuole', 'GO:0005774:C:vacuolar membrane', 'GO:0005509:F:calcium ion binding', 'GO:0005245:F:voltage-gated calcium channel activity', 'GO:0006816:P:calcium ion transport', 'GO:0019722:P:calcium-mediated signaling', 'GO:0006952:P:defense response']",May function as one of the major voltage-gated Ca(2+) channel (VDCC) across the plasma membrane. May be involved in the regulation of cytosolic Ca(2+) and in growth and development. Acts as the major ROS-responsive Ca(2+) channel and is the possible target of Al-dependent inhibition. Determines sensitivity to T.viride xylanase elicitor. Plays a regulatory role in elicitor-induced defense responses and hypersensitive cell death,,True
P48545,KCNJ5_MOUSE,419,Mus musculus,benign,pore_nontoxin,"['PF01007', 'PF17655']","['GO:0009897:C:external side of plasma membrane', 'GO:1990566:C:I(KACh) inward rectifier potassium channel complex', 'GO:1902937:C:inward rectifier potassium channel complex', 'GO:0005886:C:plasma membrane', 'GO:0030315:C:T-tubule', 'GO:0008076:C:voltage-gated potassium channel complex', 'GO:0015467:F:G-protein activated inward rectifier potassium channel activity', 'GO:0005242:F:inward rectifier potassium channel activity', 'GO:0086089:F:voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization', 'GO:0098914:P:membrane repolarization during atrial cardiac muscle cell action potential', 'GO:1990573:P:potassium ion import across plasma membrane', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0086091:P:regulation of heart rate by cardiac conduction', 'GO:0034765:P:regulation of monoatomic ion transmembrane transport']","Inward rectifier potassium channels are characterized by a greater tendency to allow potassium to flow into the cell rather than out of it. Their voltage dependence is regulated by the concentration of extracellular potassium; as external potassium is raised, the voltage range of the channel opening shifts to more positive voltages. The inward rectification is mainly due to the blockage of outward current by internal magnesium. Can be blocked by external barium. This potassium channel is controlled by G proteins (By similarity). Forms a functional channel in association with KCNJ3/GIRK1 (PubMed:10341034)",,True
P48051,KCNJ6_HUMAN,423,Homo sapiens,benign,pore_nontoxin,"['PF01007', 'PF17655']","['GO:0005794:C:Golgi apparatus', 'GO:0005886:C:plasma membrane', 'GO:0008076:C:voltage-gated potassium channel complex', 'GO:0015467:F:G-protein activated inward rectifier potassium channel activity', 'GO:0005242:F:inward rectifier potassium channel activity', 'GO:1990573:P:potassium ion import across plasma membrane', 'GO:0006813:P:potassium ion transport', 'GO:0034765:P:regulation of monoatomic ion transmembrane transport']","Inward rectifier potassium channels are characterized by a greater tendency to allow potassium to flow into the cell rather than out of it. Their voltage dependence is regulated by the concentration of extracellular potassium; as external potassium is raised, the voltage range of the channel opening shifts to more positive voltages. The inward rectification is mainly due to the blockage of outward current by internal magnesium. This potassium channel may be involved in the regulation of insulin secretion by glucose and/or neurotransmitters acting through G-protein-coupled receptors",,True
Q8GXE6,AKT6_ARATH,888,Arabidopsis thaliana,benign,pore_nontoxin,"['PF12796', 'PF00027', 'PF00520', 'PF11834']","['GO:0034702:C:monoatomic ion channel complex', 'GO:0005242:F:inward rectifier potassium channel activity', 'GO:0005267:F:potassium channel activity', 'GO:0009860:P:pollen tube growth']","Highly selective inward-rectifying potassium channel that could mediate potassium uptake in the pollen membrane. Plays an important role in pollen tube development. Assuming opened or closed conformations in response to the voltage difference across the membrane, the channel is activated by hyperpolarization. May interact with the cytoskeleton or with regulatory proteins",,True
P48542,KCNJ6_MOUSE,425,Mus musculus,benign,pore_nontoxin,"['PF01007', 'PF17655']","['GO:0030424:C:axon', 'GO:0009986:C:cell surface', 'GO:0030425:C:dendrite', 'GO:1902937:C:inward rectifier potassium channel complex', 'GO:0016020:C:membrane', 'GO:0032809:C:neuronal cell body membrane', 'GO:0098688:C:parallel fiber to Purkinje cell synapse', 'GO:0005886:C:plasma membrane', 'GO:0098794:C:postsynapse', 'GO:0098793:C:presynapse', 'GO:0042734:C:presynaptic membrane', 'GO:0015467:F:G-protein activated inward rectifier potassium channel activity', 'GO:0001965:F:G-protein alpha-subunit binding', 'GO:0005242:F:inward rectifier potassium channel activity', 'GO:0005267:F:potassium channel activity', 'GO:0099508:F:voltage-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential', 'GO:0046676:P:negative regulation of insulin secretion', 'GO:1990573:P:potassium ion import across plasma membrane', 'GO:0034765:P:regulation of monoatomic ion transmembrane transport']","Inward rectifier potassium channels are characterized by a greater tendency to allow potassium to flow into the cell rather than out of it. Their voltage dependence is regulated by the concentration of extracellular potassium; as external potassium is raised, the voltage range of the channel opening shifts to more positive voltages. The inward rectification is mainly due to the blockage of outward current by internal magnesium. This potassium channel is controlled by G proteins",,True
Q9P1Z3,HCN3_HUMAN,774,Homo sapiens,benign,pore_nontoxin,"['PF00027', 'PF00520', 'PF08412']","['GO:0030424:C:axon', 'GO:0030425:C:dendrite', 'GO:0098855:C:HCN channel complex', 'GO:0005886:C:plasma membrane', 'GO:0030552:F:cAMP binding', 'GO:0005249:F:voltage-gated potassium channel activity', 'GO:0005248:F:voltage-gated sodium channel activity', 'GO:0071320:P:cellular response to cAMP', 'GO:1990573:P:potassium ion import across plasma membrane', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0086091:P:regulation of heart rate by cardiac conduction', 'GO:0003254:P:regulation of membrane depolarization', 'GO:0042391:P:regulation of membrane potential', 'GO:0098907:P:regulation of SA node cell action potential', 'GO:0098719:P:sodium ion import across plasma membrane', 'GO:0035725:P:sodium ion transmembrane transport']","Hyperpolarization-activated ion channel that are permeable to sodium and potassium ions, with an about 3:1 preference for potassium ions (PubMed:16043489). Contributes to the native pacemaker currents in heart (If) and in neurons (Ih). In particular, plays a pivotal role in maintaining excitability and promoting rhythmic burst firing within hypothalamic nuclei. Exerts a significant influence on the configuration of the cardiac action potential waveform. Does not appear to play a prominent role in the processing of acute, neuropathic, or inflammatory pain (By similarity)",,True
O75192,PX11A_HUMAN,247,Homo sapiens,benign,pore_nontoxin,['PF05648'],"['GO:0005778:C:peroxisomal membrane', 'GO:0005777:C:peroxisome', 'GO:0032991:C:protein-containing complex', 'GO:0042803:F:protein homodimerization activity', 'GO:0050873:P:brown fat cell differentiation', 'GO:0016559:P:peroxisome fission', 'GO:0016557:P:peroxisome membrane biogenesis', 'GO:0007031:P:peroxisome organization', 'GO:0044375:P:regulation of peroxisome size', 'GO:0007165:P:signal transduction']",May be involved in peroxisomal proliferation and may regulate peroxisomes division (PubMed:9792670). May mediate binding of coatomer proteins to the peroxisomal membrane (By similarity). Promotes membrane protrusion and elongation on the peroxisomal surface (PubMed:20826455),,True
Q9P0L9,PK2L1_HUMAN,805,Homo sapiens,benign,pore_nontoxin,"['PF18109', 'PF08016', 'PF20519']","['GO:0015629:C:actin cytoskeleton', 'GO:0034704:C:calcium channel complex', 'GO:0009986:C:cell surface', 'GO:0060170:C:ciliary membrane', 'GO:0031410:C:cytoplasmic vesicle', 'GO:0005829:C:cytosol', 'GO:0005783:C:endoplasmic reticulum', 'GO:0016020:C:membrane', 'GO:0097730:C:non-motile cilium', 'GO:0005886:C:plasma membrane', 'GO:0043235:C:receptor complex', 'GO:0051393:F:alpha-actinin binding', 'GO:0005262:F:calcium channel activity', 'GO:0005509:F:calcium ion binding', 'GO:0005227:F:calcium-activated cation channel activity', 'GO:0015269:F:calcium-activated potassium channel activity', 'GO:0008092:F:cytoskeletal protein binding', 'GO:0042802:F:identical protein binding', 'GO:0005261:F:monoatomic cation channel activity', 'GO:0051371:F:muscle alpha-actinin binding', 'GO:1990760:F:osmolarity-sensing monoatomic cation channel activity', 'GO:0160128:F:pH-gated monoatomic ion channel activity', 'GO:0005272:F:sodium channel activity', 'GO:0033040:F:sour taste receptor activity', 'GO:0044325:F:transmembrane transporter binding', 'GO:0071468:P:cellular response to acidic pH', 'GO:0001581:P:detection of chemical stimulus involved in sensory perception of sour taste', 'GO:0050912:P:detection of chemical stimulus involved in sensory perception of taste', 'GO:0050982:P:detection of mechanical stimulus', 'GO:0098662:P:inorganic cation transmembrane transport', 'GO:0098655:P:monoatomic cation transmembrane transport', 'GO:0006812:P:monoatomic cation transport', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0051289:P:protein homotetramerization', 'GO:0009415:P:response to water', 'GO:0050915:P:sensory perception of sour taste', 'GO:0007224:P:smoothened signaling pathway', 'GO:0035725:P:sodium ion transmembrane transport']","Homotetrameric, non-selective cation channel that is permeable to sodium, potassium, magnesium and calcium (PubMed:10517637, PubMed:11959145, PubMed:25820328, PubMed:27754867, PubMed:29425510, PubMed:30004384). Also forms functional heteromeric channels with PKD1, PKD1L1 and PKD1L3 (PubMed:23212381, PubMed:24336289). Pore-forming subunit of a heterotetrameric, non-selective cation channel, formed by PKD1L2 and PKD1L3, that is permeable to sodium, potassium, magnesium and calcium and which may act as a sour taste receptor in gustatory cells; however, its contribution to sour taste perception is unclear in vivo and may be indirect (PubMed:19812697, PubMed:23212381). The homomeric and heteromeric channels formed by PKD1L2 and PKD1L3 are activated by low pH and Ca(2+), but opens only when the extracellular pH rises again and after the removal of acid stimulus (PubMed:23212381). Pore-forming subunit of a calcium-permeant ion channel formed by PKD1L2 and PKD1L1 in primary cilia, where it controls cilium calcium concentration, without affecting cytoplasmic calcium concentration, and regulates sonic hedgehog/SHH signaling and GLI2 transcription (PubMed:24336289). The PKD1L1:PKD2L1 complex channel is mechanosensitive only at high pressures and is highly temperature sensitive (PubMed:24336289). Pore-forming subunit of a calcium-permeant ion channel formed by PKD1L2 and PKD1 that produces a transient increase in intracellular calcium concentration upon hypo-osmotic stimulation (200 mOsm) (By similarity). May play a role in the perception of carbonation taste (By similarity). May play a role in the sensory perception of water, via a mechanism that activates the channel in response to dilution of salivary bicarbonate and changes in salivary pH (By similarity)",,True
O45923,TTM1_CAEEL,410,Caenorhabditis elegans,benign,pore_nontoxin,"['PF01545', 'PF16916']","['GO:0016324:C:apical plasma membrane', 'GO:0030659:C:cytoplasmic vesicle membrane', 'GO:0005886:C:plasma membrane', 'GO:0005385:F:zinc ion transmembrane transporter activity', 'GO:0046686:P:response to cadmium ion', 'GO:0093002:P:response to nematicide', 'GO:0010043:P:response to zinc ion', 'GO:0071577:P:zinc ion transmembrane transport']","Promotes excretion of zinc from intestinal cells into the intestinal lumen in response to increased dietary zinc (PubMed:23717214). Involved in cadmium resistance, possibly by promoting its transport from cells (PubMed:15256590). Involved in resistance to B.thuringiensis pore-forming toxin Cry5B downstream of the sek-1 and pmk-1 MAPK kinase pathway (PubMed:15256590)",,True
P92960,KAT3_ARATH,662,Arabidopsis thaliana,benign,pore_nontoxin,"['PF00027', 'PF00520', 'PF11834']","['GO:0005783:C:endoplasmic reticulum', 'GO:0034702:C:monoatomic ion channel complex', 'GO:0005886:C:plasma membrane', 'GO:0005249:F:voltage-gated potassium channel activity', 'GO:0071805:P:potassium ion transmembrane transport', 'GO:0009624:P:response to nematode']",Probable modulatory (alpha) subunit of inward-rectifying potassium channels. Could mediate potassium uptake from the soil solution by plant roots in association with AKT1,,True
